"Credit card type : %s","Type de carte : %s"
"Last transaction ID : %s","Numéro de transaction : %s"
"MonsieurBiz Payment","Paiement MonsieurBiz"
"Enabled","Activé"
"Title","Nom"
"New Order Status","Statut d'une nouvelle commande"
"Payment Applicable From","Payment disponible pour"
"Countries Payment Applicable From","Payment disponible pour les pays"
"Sort Order","Ordre de tri"
"Replaced Payment Methods","Mode de paiement remplaçés"
"Separated by coma. These payment methods will be replaced by this one if they does not exist anymore","Séparés par une virgule. Ces modes de paiement seront remplaçés par celui-ci si elles n'existent plus"
"Initial payment method : %s","Mode de paiement initial : %s"
"Custom Payment","Paiement personnalisé"
